id,name,breed_group,life_span,temperament,origin,bred_for,weight_metric,height_metric,reference_image_id,image_url
65,Cairn Terrier,Terrier,,"Alert, confident, friendly, intelligent, courageous, energetic",Scotland,,Male: 6-7.5; Female: 6-7,Male: 25-28; Female: 24-27,,https://cdn2.thedogapi.com/images/135XZc4x1.jpg
400,Calupoh,Herding,12-14,"Loyal, intelligent, alert, calm, protective, confident",Mexico,,Male: 31-45; Female: 27-40,Male: 61-75; Female: 56-70,,https://cdn2.thedogapi.com/images/YYIflhgK0.jpg
397,Ca Mè Mallorquí,Working,12-14,"Alert, intelligent, energetic, loyal, work-focused","Mallorca, Balearic Islands, Spain",,Male: 20-25; Female: 16-20,Male: 53-58; Female: 48-53,,https://cdn4.thedogapi.com/optimized/kLMiFtPQMj.jpg
401,Campeiro Bulldog,Working,10-12,"Loyal, protective, courageous, calm, work-focused",Brazil,,Male: 35-45; Female: 30-40,Male: 48-56; Female: 46-54,,https://cdn2.thedogapi.com/images/xmHTSrAon_1280.jpg
66,Canaan Dog,Herding,12-15,"Alert, intelligent, loyal, independent, protective, confident",Israel,,Male: 20-25; Female: 16-20,Male: 51-61; Female: 48-58,,https://cdn2.thedogapi.com/images/ILaCjZC33.jpg
404,Canadian Eskimo Dog,Working,10-15,"Alert, loyal, intelligent, courageous, independent, work-focused",Canadian Arctic,,Male: 30-40; Female: 18-30,Male: 58-70; Female: 50-60,,https://cdn4.thedogapi.com/optimized/XUBm5RA95T.jpg
402,Can de Chira,Herding,11-14,"Intelligent, energetic, loyal, alert, work-focused","Aragon, Spain",,Male: 16-20; Female: 12-16,Male: 42-47; Female: 38-43,,https://cdn2.thedogapi.com/images/SJJtcXs4m.gif
403,Can de Palleiro,Herding,12-14,"Intelligent, loyal, protective, work-focused, alert","Galicia, Spain",,Male: 30-35; Female: 25-30,Male: 58-65; Female: 53-61,,https://cdn4.thedogapi.com/optimized/u61mBoaFOV.jpg
67,Cane Corso,Working,9-12,"Confident, protective, intelligent, loyal, affectionate",Italy,,Male: 45-50; Female: 40-45,Male: 64-70; Female: 60-66,,https://cdn4.thedogapi.com/optimized/C4qcJRC6mF.jpg
405,Cane di Oropa,Herding,12-15,"Loyal, intelligent, energetic, work-focused, alert, devoted","Biellese Alps, Piedmont (Oropa Valley), Italy",,Male: 20-30; Female: 17-27,Male: 48-56; Female: 45-54,,https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg
406,Cane Paratore,Herding,10-15,"Intelligent, energetic, loyal, protective, work-focused, alert","Piedmont Alps, Italy",,Male: 18-30; Female: 18-25,Male: 47-55; Female: 45-53,,https://cdn4.thedogapi.com/optimized/JaaVatrXmg.jpg
407,Cantabrian Water Dog,Sporting,12-14,"Loyal, intelligent, work-focused, energetic, alert, devoted","Cantabria, Spain",,Male: 15-23; Female: 12-20,Male: 42-50; Female: 40-47,,https://cdn2.thedogapi.com/images/SJcCuu2SX_1280.jpg
408,Cão de Gado Transmontano,Working,10-12,"Protective, independent, calm, loyal, confident, courageous","Trás-os-Montes region, Portugal",,Male: 50-75; Female: 40-60,Male: 75-84; Female: 68-78,,https://cdn4.thedogapi.com/optimized/PnX0Ak9Bqb.jpg
399,Ca Rater Mallorquí,Terrier,12-15,"Alert, energetic, intelligent, loyal, courageous","Mallorca, Balearic Islands, Spain",,Male: 10-15; Female: 8-13,Male: 30-38; Female: 29-36,,https://cdn2.thedogapi.com/images/xcrQRb4IQ.jpg
68,Cardigan Welsh Corgi,Herding,12-15,"Affectionate, loyal, intelligent, alert, adaptable","Cardiganshire, Wales",,Male: 14-17; Female: 11-15,27-32,,https://cdn4.thedogapi.com/optimized/G0wYTHus2i.jpg
409,Carea Leonés,Herding,12-14,"Intelligent, loyal, work-focused, energetic, alert, athletic","León Province, Spain",,Male: 23-32; Female: 18-27,Male: 51-61; Female: 46-56,,https://cdn2.thedogapi.com/images/H1zSie9V7_1280.jpg
410,Carolina Dog,Hound,12-15,"Alert, intelligent, independent, loyal, adaptable, gentle",Southeastern United States,,14-25,Male: 46-51; Female: 43-48,,https://cdn2.thedogapi.com/images/tYnqlqNkz.jpg
411,Carpathian Shepherd Dog,Working,12-14,"Loyal, protective, courageous, calm, independent, alert, devoted","Carpathian Mountains, Romania",,Male: 35-45; Female: 30-36,Male: 65-73; Female: 59-68,,https://cdn2.thedogapi.com/images/DZzgyxMIE.jpg
412,Castro Laboreiro Dog,Working,11-13,"Loyal, protective, intelligent, independent, alert, courageous","Castro Laboreiro region, Portugal",,Male: 30-40; Female: 25-35,Male: 58-63; Female: 55-60,,https://cdn2.thedogapi.com/images/rJxieg9VQ_1280.jpg
69,Catahoula Leopard Dog,Herding,10-14,"Independent, intelligent, loyal, protective, energetic, work-focused","Louisiana, United States",,Male: 29-41; Female: 23-29,Male: 56-66; Female: 51-61,,https://cdn2.thedogapi.com/images/hd1iiHXjK.jpg
413,Catalan Sheepdog,Herding,12-14,"Intelligent, loyal, energetic, protective, courageous","Catalonia, Spain",,Male: 20-28; Female: 17-21,Male: 47-55; Female: 45-53,,https://cdn4.thedogapi.com/optimized/QcMf5Iv8um.jpg
269,Caucasian Shepherd Dog,Working,10-12,"Protective, independent, courageous, loyal, confident",Caucasus Mountains,,Male: 50-77; Female: 45-68,Male: 68-76; Female: 64-71,,https://cdn4.thedogapi.com/optimized/7jhMib9rEF.jpg
70,Caucasian Shepherd Dog,Working,10-12,"Protective, independent, confident, courageous, alert",Caucasus Mountains,,Male: 50-77; Female: 45-68,Male: 68-76; Female: 64-71,,https://cdn2.thedogapi.com/images/-qOqBA-Un.jpg
71,Cavalier King Charles Spaniel,Toy,12-15,"Affectionate, gentle, friendly, playful, eager to please, adaptable",United Kingdom,,6-8,30-33,,https://cdn2.thedogapi.com/images/ByFQI6TVX.gif
72,Cavapom,Mixed,12-16,"Friendly, affectionate, playful, intelligent, outgoing, alert",United States,,3-9,18-33,,https://cdn2.thedogapi.com/images/_8II0snsl.jpg
73,Cavapoo,Mixed,10-15,"Affectionate, intelligent, friendly, playful, gentle, outgoing",Australia,,5-11,23-36,,https://cdn4.thedogapi.com/optimized/28pSRwqLJd.jpg
414,Central Asian Shepherd Dog,Working,12-15,"Independent, protective, confident, courageous, calm",Central Asia,,Male: 50-80; Female: 40-65,Male: 69-81; Female: 61-69,,https://cdn4.thedogapi.com/optimized/n0VCtOCK10.jpg
415,Český fousek,Sporting,12-15,"Intelligent, loyal, energetic, devoted, eager to please, work-focused",Czech Republic,,Male: 28-34; Female: 22-28,Male: 60-66; Female: 57-62,,https://cdn4.thedogapi.com/optimized/F0nbcc4hif.jpg
74,Cesky Terrier,Terrier,12-15,"Calm, gentle, playful, intelligent, loyal, devoted",Czech Republic,,6-11,25-33,,https://cdn4.thedogapi.com/optimized/AX0nuGJ1W9.jpg
75,Chart Polski,Hound,10-12,"Independent, loyal, alert, calm, confident, courageous, protective, intelligent",Poland,,Male: 28-43; Female: 25-37,Male: 70-80; Female: 68-78,,https://cdn2.thedogapi.com/images/xbI13teuJ.jpg
76,Chesapeake Bay Retriever,Sporting,10-13,"Intelligent, courageous, loyal, protective, confident","Maryland, United States",,Male: 29-36; Female: 25-32,Male: 58-66; Female: 53-61,,https://cdn2.thedogapi.com/images/34v9aKCct.jpg
416,Chien Français Blanc et Noir,Hound,10-12,"Courageous, intelligent, work-focused, independent, loyal",France,,Male: 30-35; Female: 28-33,Male: 65-72; Female: 62-68,,https://cdn4.thedogapi.com/optimized/w1x9MMmJmL.jpg
417,Chien Français Blanc et Orange,Hound,10-12,"Gentle, calm, loyal, intelligent, energetic, work-focused",France,,Male: 28-32; Female: 25-30,Male: 62-70; Female: 60-66,,https://cdn2.thedogapi.com/images/rygIFuhH7_1280.jpg
418,Chien Français Tricolore,Hound,10-12,"Work-focused, intelligent, energetic, loyal, athletic, alert",France,,Male: 28-35; Female: 25-30,Male: 62-72; Female: 60-68,,https://cdn2.thedogapi.com/images/8ogZCsDcp.jpg
77,Chihuahua,Toy,,"Alert, devoted, intelligent, confident, courageous, lively",Mexico,,1-3,13-20,,https://cdn2.thedogapi.com/images/HkaT7ppEQ.gif
419,Chilean Terrier,Terrier,12-15,"Alert, energetic, loyal, intelligent, adaptable",Chile,,Male: 6-8; Female: 4-7,Male: 32-38; Female: 28-36,,https://cdn4.thedogapi.com/optimized/uyzCltwcbd.jpg
78,Chinese Crested,Toy,,"Affectionate, alert, playful, lively, intelligent, gentle",China,,3.6-5.4,28-33,,https://cdn4.thedogapi.com/optimized/W6BdzlKxKS.jpg
79,Chinese Shar-Pei,Non-Sporting,8-12,"Loyal, independent, calm, alert, protective, intelligent",China,,20-27,46-51,,https://cdn2.thedogapi.com/images/omWvTh-2m.jpg
80,Chinook,Working,12-15,"Intelligent, calm, devoted, friendly, eager to please","New Hampshire, United States",,Male: 25-41; Female: 23-32,Male: 58-66; Female: 53-64,,https://cdn4.thedogapi.com/optimized/h32ZmgvIVI.jpg
664,Chipoo,Mixed,12-15,"Intelligent, alert, playful, affectionate, energetic, loyal",United States,,2-7,13-30,,https://cdn2.thedogapi.com/images/SkIgzxqNQ_1280.jpg
420,Chippiparai,Sighthound,12-15,"Loyal, intelligent, independent, alert, gentle, athletic","Tamil Nadu, India",,Male: 15-22; Female: 12-18,Male: 61-72; Female: 56-66,,https://cdn2.thedogapi.com/images/38KoA9gGB.jpg
657,Chiweenie,Mixed,12-16,"Loyal, alert, playful, confident, energetic, affectionate",United States,,2-5,15-25,,https://cdn4.thedogapi.com/optimized/yVQS4vzbtg.jpg
421,Chongqing Dog,Utility,10-13,"Loyal, protective, alert, confident, independent","Chongqing, China",,Male: 15-25; Female: 12-20,Male: 38-50; Female: 35-46,,https://cdn2.thedogapi.com/images/ViIxw1j4w.jpg
654,Chorkie,Mixed,12-15,"Alert, loyal, energetic, confident, affectionate, playful, intelligent",United States,,1.8-4.5,15-23,,https://cdn4.thedogapi.com/optimized/L3ylGHMSmW.jpg
422,Chortai,Hound,11-13,"Independent, intelligent, loyal, athletic, calm",Southern Russia/Central Asia,,Male: 25-35; Female: 23-32,Male: 64-74; Female: 61-71,,https://cdn2.thedogapi.com/images/hcx2zV5Bj.jpg
81,Chow Chow,Non-Sporting,8-12,"Loyal, independent, aloof, alert, calm, protective",China,,20-32,43-51,,https://cdn2.thedogapi.com/images/14MaKTcUX.jpg
82,Chug,Mixed,10-13,"Playful, affectionate, loyal, alert, confident",United States,,4.5-9,25-36,,https://cdn2.thedogapi.com/images/Mncs8eeby.jpg
423,Chukotka Sled Dog,Northern,12-15,"Hardy, energetic, independent, loyal, alert, work-focused","Chukotka Peninsula, Siberia",,Male: 20-25; Female: 18-22,Male: 53-60; Female: 51-57,,https://cdn2.thedogapi.com/images/cZT3u01tZ.jpg
424,Cimarrón Uruguayo,Working,10-12,"Courageous, intelligent, loyal, protective, calm, confident",Uruguay,,Male: 38-45; Female: 33-40,Male: 58-61; Female: 55-58,,https://cdn4.thedogapi.com/optimized/ACDtQWVRBr.jpg
83,Cirneco dell'Etna,Hound,12-14,"Affectionate, independent, alert, gentle, intelligent","Sicily, Italy",,Male: 10-12; Female: 8-10,Male: 46-50; Female: 42-46,,https://cdn4.thedogapi.com/optimized/niUi2k5cdI.jpg
84,Clumber Spaniel,Sporting,10-12,"Gentle, loyal, calm, intelligent, playful",England,,Male: 32-39; Female: 25-32,Male: 43-51; Female: 43-48,,https://cdn4.thedogapi.com/optimized/Uz9mTebSzn.jpg
85,Cockapoo,Mixed,12-15,"Friendly, intelligent, affectionate, playful, outgoing",United States,,5-11,25-38,,https://cdn4.thedogapi.com/optimized/d5dxpy8AUR.jpg
86,Cocker Spaniel,Sporting,10-14,"Friendly, affectionate, playful, intelligent, outgoing",United States,,Male: 11-14; Female: 9-11,Male: 34-39; Female: 32-37,,https://cdn2.thedogapi.com/images/rVOHQ6r1R.jpg
425,Colombian Fino Hound,Scent Hound,10-14,"Affectionate, docile, energetic, intelligent, loyal, work-focused, devoted, alert",Colombia,,15-25,Male: 40-50; Female: 38-48,,https://cdn2.thedogapi.com/images/fbl5hbwrc.jpg
426,Continental Bulldog,Non-Sporting,10-14,"Friendly, confident, calm, alert, adaptable, loyal",Switzerland,,Male: 23-30; Female: 20-27,Male: 42-47; Female: 38-44,,https://cdn4.thedogapi.com/optimized/yKIPHbJick.jpg
678,Corgipoo,Mixed,12-15,"Intelligent, friendly, playful, affectionate, energetic, alert",United States,,5-14,25-38,,https://cdn4.thedogapi.com/optimized/FRKm6nX5x3.jpg
427,Corsican Dog,Herding,10-14,"Independent, alert, loyal, protective, intelligent","Corsica, France",,Male: 15-29; Female: 13-25,Male: 46-58; Female: 43-56,,https://cdn2.thedogapi.com/images/ByK8gx947_1280.jpg
89,Coton de Tulear,Non-Sporting,,"Happy, playful, affectionate, alert, friendly, intelligent, adaptable",Madagascar,,Male: 4-7; Female: 3.5-6,Male: 25-28; Female: 23-25,,https://cdn2.thedogapi.com/images/SkvZgx94m_1280.jpg
428,Cretan Hound,Hound,12-15,"Intelligent, independent, alert, energetic, athletic, gentle, affectionate","Crete, Greece",,Male: 15-25; Female: 15-23,Male: 52-60; Female: 50-58,,https://cdn4.thedogapi.com/optimized/CQUHaShvmM.jpg
429,Croatian Sheepdog,Herding,12-14,"Intelligent, alert, energetic, loyal, work-focused, eager to please",Croatia,,13-20,40-50,,https://cdn2.thedogapi.com/images/MCQEc8Oc-.jpg
90,Curly-Coated Retriever,Sporting,10-12,"Confident, intelligent, independent, loyal, energetic",England,,27-43,Male: 64-69; Female: 58-64,,https://cdn2.thedogapi.com/images/jPiMLwaJh.jpg
270,Czechoslovakian Wolfdog,Working,12-16,"Loyal, intelligent, energetic, courageous, alert, independent",Czechoslovakia,,Male: 25-34; Female: 20-27,Male: 61-71; Female: 60-66,,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg
91,Dachshund,Hound,12-16,"Courageous, intelligent, independent, alert, playful, devoted",Germany,,7-14.5,20-23,,https://cdn4.thedogapi.com/optimized/Z4dSbHTVEA.jpg
669,Dalmadoodle,Mixed,11-15,"Intelligent, energetic, friendly, loyal, alert",United States,,Male: 20-32; Female: 20-29,Male: 51-61; Female: 48-58,,https://cdn2.thedogapi.com/images/Bklnce5NX_1280.jpg
92,Dalmatian,Non-Sporting,11-13,"Energetic, outgoing, intelligent, alert, athletic","Dalmatia, Croatia",,Male: 25-32; Female: 20-27,Male: 58-61; Female: 56-58,,https://cdn2.thedogapi.com/images/ROvy59azW.jpg
93,Dandie Dinmont Terrier,Terrier,12-15,"Independent, intelligent, loyal, affectionate, confident, gentle",Scottish Borders,,8-11,20-28,,https://cdn2.thedogapi.com/images/xAo4Tfbyg.jpg
430,Danish Spitz,Non-Sporting,12-15,"Friendly, alert, intelligent, energetic, loyal",Denmark,,Male: 12-18; Female: 10-15,Male: 40-49; Female: 39-46,,https://cdn2.thedogapi.com/images/A3mLu3WQ2.jpg
431,Danish-Swedish Farmdog,Terrier,11-15,"Alert, friendly, energetic, intelligent, adaptable, eager to please",Denmark and Sweden,,7-11,Male: 32-38; Female: 29-37,,https://cdn4.thedogapi.com/optimized/T3mbY3ZONG.jpg
432,Denmark Feist,Scenthound,12-18,"Energetic, alert, intelligent, courageous, loyal","Denmark, Tennessee, United States",,Male: 9-16; Female: 7-11,38-46,,https://cdn2.thedogapi.com/images/Sy57xx9EX_1280.jpg
433,Dikkulak,Sighthound,12-16,"Alert, energetic, loyal, intelligent",Turkey,,Male: 9-14; Female: 8-13,Male: 33-41; Female: 30-38,,https://cdn2.thedogapi.com/images/YmHQa7tTt.jpg
434,Dingo,Primitive/Wild Canid,10-15,"Independent, alert, intelligent, adaptable",Australia,,Male: 13-20; Female: 11-18,Male: 48-60; Female: 45-58,,https://cdn4.thedogapi.com/optimized/sOLiRfkCDn.jpg
94,Doberman Pinscher,Working,10-12,"Intelligent, alert, loyal, energetic, confident",Germany,,Male: 34-45; Female: 27-41,Male: 66-71; Female: 61-66,,https://cdn4.thedogapi.com/optimized/70lgNuWy8z.jpg
95,Dogo Argentino,Working,9-15,"Courageous, loyal, protective, confident, intelligent, energetic",Argentina,,Male: 40-45; Female: 40-43,Male: 61-67; Female: 61-65,,https://cdn4.thedogapi.com/optimized/F4uCFjpvxk.jpg
435,Dogo Sardesco,Working,10-13,"Protective, loyal, courageous, intelligent, confident, independent","Sardinia, Italy",,Male: 35-50; Female: 30-45,Male: 60-69; Female: 56-64,,https://cdn4.thedogapi.com/optimized/UAHks1q5iR.jpg
436,Dogue Brasileiro,Working,9-12,"Protective, loyal, intelligent, courageous, calm, devoted",Brazil,,Male: 36-50; Female: 31-45,Male: 56-66; Female: 54-64,,https://cdn4.thedogapi.com/optimized/MxTXPq64DR.jpg
96,Dogue de Bordeaux,Working,5-8,"Loyal, affectionate, courageous, calm, protective, devoted","Bordeaux, France",,Male: 50-64; Female: 45-55,Male: 60-69; Female: 58-66,,https://cdn2.thedogapi.com/images/CIM1p1uFh.jpg
437,Donggyeongi,Spitz,12-15,"Friendly, gentle, alert, intelligent, loyal, courageous, adaptable","Gyeongju, South Korea",,Male: 16-18; Female: 14-16,Male: 47-51; Female: 45-49,,https://cdn4.thedogapi.com/optimized/UDcVZlmJh9.jpg
658,Dorkie,Mixed,11-16,"Affectionate, intelligent, playful, alert, loyal, courageous",United States,,2-5.5,13-23,,https://cdn2.thedogapi.com/images/JjT27ESYT.jpg
97,Doxiepoo,Mixed,10-15,"Intelligent, playful, affectionate, loyal, alert",United States,,4.5-14,20-38,,https://cdn2.thedogapi.com/images/r156pDT4m.gif
438,Drentse Patrijshond,Sporting,11-14,"Friendly, intelligent, loyal, gentle, energetic, alert","Drenthe province, Netherlands",,Male: 23-33; Female: 22-25,Male: 57-63; Female: 55-60,,https://cdn2.thedogapi.com/images/I3E0R2tuV.jpg
439,Drever,Hound,12-15,"Alert, calm, friendly, intelligent, loyal, even-tempered, courageous",Sweden,,14-18,30-38,,https://cdn4.thedogapi.com/optimized/rYOOAgdBuu.jpg
440,Dunker,Hound,12-15,"Friendly, calm, gentle, intelligent, energetic",Norway,,16-22,Male: 50-55; Female: 47-52,,https://cdn2.thedogapi.com/images/14MaKTcUX.jpg
98,Dutch Shepherd,Herding,11-14,"Intelligent, loyal, alert, energetic, athletic, work-focused, independent",Netherlands,,Male: 23-34; Female: 19-30,Male: 57-64; Female: 55-61,,https://cdn4.thedogapi.com/optimized/ScJbN2cIKo.jpg
441,Dutch Smoushond,Non-Sporting,12-15,"Friendly, alert, affectionate, playful, lively, intelligent",Netherlands,,Male: 9-11; Female: 8-10,Male: 35.5-42; Female: 33-42,,https://cdn2.thedogapi.com/images/SMa0dyTLx.jpg
443,East European Shepherd,Working,10-14,"Loyal, protective, confident, intelligent, work-focused",Soviet Union,,Male: 34-50; Female: 29-45,Male: 66-76; Female: 61-71,,https://cdn2.thedogapi.com/images/40bvxOUyl.jpg
442,East Siberian Laika,Spitz and Primitive Types,12-15,"Independent, alert, intelligent, courageous, loyal, work-focused","Eastern Siberia, Russia",,Male: 18-23; Female: 16-20,Male: 56-64; Female: 53-61,,https://cdn2.thedogapi.com/images/8X9vWcGdt.jpg
444,Ecuadorian Hairless Dog,Unknown,10-12,"Calm, alert, loyal, gentle, affectionate, intelligent, independent","Santa Elena Peninsula, Ecuador",,Male: 11-16; Female: 9-14,Male: 38-46; Female: 36-43,,https://cdn2.thedogapi.com/images/Sk7Qbg9E7_1280.jpg
99,English Cocker Spaniel,Sporting,12-14,"Merry, affectionate, intelligent, energetic, playful, gentle, eager to please",England,,Male: 13-15.5; Female: 12-14.5,Male: 41-43; Female: 38-41,,https://cdn2.thedogapi.com/images/ihTQ9wvul.jpg
100,English Foxhound,Hound,10-13,"Friendly, energetic, gentle, independent, courageous",England,,Male: 27-34; Female: 27-29,Male: 56-64; Female: 53-61,,https://cdn4.thedogapi.com/optimized/dVCYZjuRS5.jpg
164,English Mastiff,Working,6-10,"Gentle, loyal, protective, calm, courageous",England,,Male: 73-104; Female: 54-77,Male: 76-86; Female: 70-81,,https://cdn4.thedogapi.com/optimized/uZkwvX8TJW.jpg
101,English Setter,Sporting,12-14,"Friendly, gentle, affectionate, intelligent, energetic",England,,Male: 29-36; Female: 20-32,Male: 64-69; Female: 58-64,,https://cdn2.thedogapi.com/images/H1LsFdnrm_1280.jpg
102,English Shepherd,Herding,12-15,"Intelligent, loyal, energetic, alert, devoted, adaptable",United States,,Male: 20-27; Female: 16-23,Male: 48-58; Female: 46-56,,https://cdn4.thedogapi.com/optimized/LY570N51o3.jpg
103,English Springer Spaniel,Sporting,12-14,"Friendly, intelligent, energetic, eager to please, playful",England,,Male: 20-25; Female: 16-23,Male: 48-53; Female: 46-51,,https://cdn4.thedogapi.com/optimized/OFLogYcG3a.jpg
105,English Toy Terrier (Black & Tan),Toy,12-13,"Alert, intelligent, loyal, playful",England,,2.7-3.6,25-30,,https://cdn2.thedogapi.com/images/_q5yhP_X_.jpg
106,Entlebucher Mountain Dog,Herding,11-13,"Intelligent, energetic, loyal, alert, confident, devoted","Entlebuch valley, Switzerland",,Male: 23-30; Female: 18-25,Male: 43-53; Female: 41-51,,https://cdn2.thedogapi.com/images/YmHQa7tTt.jpg
445,Erbi Txakur,Scent Hound,12-14,"Intelligent, energetic, alert, loyal, work-focused","Basque Country, Spain",,Male: 15-20; Female: 13-18,Male: 48-56; Female: 46-54,,https://cdn4.thedogapi.com/optimized/nsVY06PMY4.jpg
679,Eskapoo,Mixed,12-15,"Intelligent, friendly, playful, affectionate, alert, energetic",United States,,Male: 7-11; Female: 6-10,25-38,,https://cdn4.thedogapi.com/optimized/uuNFpVb59T.jpg
446,Estonian Hound,Hound,12-15,"Friendly, energetic, alert, intelligent, calm",Estonia,,20-30,Male: 45-52; Female: 42-49,,https://cdn2.thedogapi.com/images/BkrJjgcV7_1280.jpg
447,Estrela Mountain Dog,Working,10-14,"Loyal, protective, intelligent, calm, courageous, independent","Serra da Estrela Mountains, Portugal",,Male: 40-60; Female: 30-50,Male: 65-72; Female: 62-69,,https://cdn4.thedogapi.com/optimized/VywKKonr8P.jpg
107,Eurasier,Non-Sporting,12-14,"Calm, confident, loyal, intelligent, gentle, reserved",Germany,,Male: 23-32; Female: 18-26,Male: 52-60; Female: 48-56,,https://cdn2.thedogapi.com/images/BW9WnXl3E.jpg
448,Faroese Sheepdog,Herding,11-15,"Intelligent, energetic, loyal, alert, work-focused, independent",Faroe Islands,,Male: 11-20; Female: 10-18,Male: 43-51; Female: 41-48,,https://cdn2.thedogapi.com/images/YOZ3-uVvB.jpg
108,Field Spaniel,Sporting,12-13,"Docile, intelligent, affectionate, gentle, sensitive",England,,16-23,43-46,,https://cdn2.thedogapi.com/images/0etOz_CUv.jpg
109,Fila Brasileiro,Working,9-11,"Loyal, protective, courageous, devoted, independent",Brazil,,Male: 50-82; Female: 40-73,Male: 65-75; Female: 60-70,,https://cdn4.thedogapi.com/optimized/creB1TPTKZ.jpg
449,Finnish Hound,Hound,11-13,"Friendly, energetic, independent, alert, intelligent",Finland,,Male: 20-29; Female: 20-25,Male: 55-61; Female: 52-58,,https://cdn2.thedogapi.com/images/S13yZg5VQ_1280.jpg
110,Finnish Lapphund,Herding,12-15,"Friendly, alert, intelligent, calm, courageous, loyal, adaptable",Lapland (Finland),,15-24,Male: 46-53; Female: 41-49,,https://cdn2.thedogapi.com/images/WWmA1kutH.jpg
111,Finnish Spitz,Non-Sporting,12-15,"Friendly, alert, intelligent, independent, playful, courageous",Finland,,Male: 11-15; Female: 9-13,Male: 44.5-51; Female: 39-46,,https://cdn4.thedogapi.com/optimized/ah0OKUinZL.jpg
112,Flat-Coated Retriever,Sporting,8-10,"Friendly, outgoing, optimistic, intelligent, energetic, playful, devoted",England,,Male: 27-32; Female: 25-29,Male: 58-62; Female: 56-60,,https://cdn2.thedogapi.com/images/4WiUpv_4W.jpg
450,Florida Cracker Cur,Herding,10-14,"Loyal, intelligent, energetic, protective, work-focused, alert","Florida, United States",,Male: 14-25; Female: 11-23,Male: 46-56; Female: 43-53,,https://cdn4.thedogapi.com/optimized/xz4R1yeRiz.jpg
676,Foxhoodle,Mixed,10-15,"Intelligent, energetic, friendly, alert, loyal, playful",United States,,Male: 23-32; Female: 18-29,Male: 56-69; Female: 53-64,,https://cdn2.thedogapi.com/images/pxtkPmg3b.jpg
113,French Bulldog,Non-Sporting,10-12,"Affectionate, playful, alert, adaptable, smart",France,,7-13,28-33,,https://cdn2.thedogapi.com/images/Bk4phvp47.gif
451,French Spaniel,Sporting,10-12,"Gentle, intelligent, calm, adaptable, eager to please",France,,Male: 23-27; Female: 20-27,Male: 56-61; Female: 53-58,,https://cdn4.thedogapi.com/optimized/KHqTyrsJV6.jpg
683,Frenchton,Mixed,10-15,"Friendly, playful, intelligent, affectionate, adaptable",United States,,Male: 7-11; Female: 6-10,Male: 36-41; Female: 33-38,,https://cdn2.thedogapi.com/images/r14eVa6EX.gif
685,Frug,Mixed,10-15,"Playful, affectionate, outgoing, adaptable, alert, happy",United States,,6-13,25-33,,https://cdn2.thedogapi.com/images/-c6didgTY.jpg
452,Gascon Saintongeois,Hound,11-13,"Gentle, calm, affectionate, loyal, intelligent, work-focused","Saintonge, France",,Male: 30-35; Female: 26-30,Male: 65-71; Female: 61-67,,https://cdn4.thedogapi.com/optimized/Z4dSbHTVEA.jpg
453,Gaucho Sheepdog,Herding,12-15,"Intelligent, loyal, energetic, protective, alert, calm","Rio Grande do Sul, Brazil",,Male: 20-34; Female: 18-29,Male: 51-61; Female: 48-58,,https://cdn2.thedogapi.com/images/FXigpiT_A.jpg
454,Georgian Shepherd,Working,10-12,"Protective, independent, loyal, courageous, calm, confident",Georgia (Caucasus region),,Male: 50-70; Female: 41-60,Male: 65-75; Female: 62-70,,https://cdn2.thedogapi.com/images/6CFLgAYVH.jpg
692,Gerberian Shepsky,Mixed,10-13,"Intelligent, loyal, energetic, alert, protective, independent",United States,,Male: 20-41; Female: 16-32,Male: 53-66; Female: 51-64,,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg
455,German Hound,Hound,10-14,"Intelligent, loyal, energetic, calm, confident",Germany,,18-25,Male: 48-53; Female: 46-51,,https://cdn4.thedogapi.com/optimized/ZrUZGKHJZq.jpg
456,German Longhaired Pointer,Sporting,12-14,"Intelligent, gentle, calm, loyal, eager to please, work-focused",Germany,,Male: 25-36; Female: 20-32,Male: 61-71; Female: 58-66,,https://cdn2.thedogapi.com/images/dSaV-OCxy.jpg
114,German Pinscher,Working,12-14,"Alert, courageous, intelligent, energetic, confident, loyal",Germany,,11-20,43-51,,https://cdn2.thedogapi.com/images/42QrDrylc.jpg
457,German Roughhaired Pointer,Sporting,12-14,"Intelligent, loyal, energetic, confident, work-focused",Germany,,Male: 30-35; Female: 26-32,Male: 61-66; Female: 56-64,,https://cdn2.thedogapi.com/images/B1vimaTE7.gif
115,German Shepherd,Herding,9-13,"Confident, courageous, intelligent, loyal, protective",Germany,,Male: 29-41; Female: 23-32,Male: 61-66; Female: 56-61,,https://cdn4.thedogapi.com/optimized/yy1Llb59pv.jpg
690,German Sheprador,Mixed,10-13,"Intelligent, loyal, friendly, energetic, protective, eager to please",United States,,Male: 27-41; Female: 25-36,Male: 56-66; Female: 55-61,,https://cdn4.thedogapi.com/optimized/OHWsNdOh9O.jpg
116,German Shorthaired Pointer,Sporting,10-12,"Friendly, intelligent, energetic, eager to please, athletic",Germany,,Male: 25-32; Female: 20-27,Male: 58-64; Female: 53-58,,https://cdn2.thedogapi.com/images/S1osGeqVm_1280.jpg
